scenario,phi,num_obs,tau_run
Nc=Np,0.199951171875,3276,0.8357712700005864
Nc=Np,0.199951171875,3276,0.783250311498862
Nc=Np,0.199951171875,3276,0.7568501217489823
Nc=Np,0.199951171875,3276,0.8396472493246729
Nc=Np,0.199951171875,3276,0.8140298996369443
Nc=Np,0.199951171875,3276,0.7469470659635692
Nc=Np,0.199951171875,3276,0.7960491536707254
Nc=Np,0.199951171875,3276,0.7466147219451452
Nc=Np,0.199951171875,3276,0.774545534895388
Nc=Np,0.199951171875,3276,0.8062037823867924
Nc=Np,0.199951171875,3276,0.7908762897546822
Nc=Np,0.199951171875,3276,0.802870738826813
Nc=Np,0.199951171875,3276,0.7414109938346464
Nc=Np,0.199951171875,3276,0.7816080438569444
Nc=Np,0.199951171875,3276,0.7745314417810227
Nc=Np,0.199951171875,3276,0.7197625829952549
Nc=Np,0.199951171875,3276,0.7887896016237724
Nc=Np,0.199951171875,3276,0.8450351649657418
Nc=Np,0.199951171875,3276,0.7783426356675935
Nc=Np,0.199951171875,3276,0.7447208677649491
Nc=Np,0.199951171875,3276,0.7353243502753246
Nc=Np,0.199951171875,3276,0.8643537544829173
Nc=Np,0.199951171875,3276,0.8138553965068158
Nc=Np,0.199951171875,3276,0.7634827602639921
Nc=Np,0.199951171875,3276,0.7936705024025607
Nc=Np,0.199951171875,3276,0.8736137192254129
Nc=Np,0.199951171875,3276,0.7823312506891642
Nc=Np,0.199951171875,3276,0.7721895886103146
Nc=Np,0.199951171875,3276,0.8134740442653642
Nc=Np,0.199951171875,3276,0.8310850063198416
Nc=Np,0.199951171875,3276,0.8171696072681607
Nc=Np,0.199951171875,3276,0.7880435516184883
Nc=Np,0.199951171875,3276,0.8049474362007812
Nc=Np,0.199951171875,3276,0.821627747546159
Nc=Np,0.199951171875,3276,0.844931408541902
Nc=Np,0.199951171875,3276,0.8287381991312981
Nc=Np,0.199951171875,3276,0.8579961153842397
Nc=Np,0.199951171875,3276,0.795062238148383
Nc=Np,0.199951171875,3276,0.8108496307168571
Nc=Np,0.199951171875,3276,0.7538393064066111
Nc=Np,0.199951171875,3276,0.7103480057711282
Nc=Np,0.199951171875,3276,0.7932857448078225
Nc=Np,0.199951171875,3276,0.814473564911524
Nc=Np,0.199951171875,3276,0.8222886566681701
Nc=Np,0.199951171875,3276,0.7773421124800354
Nc=Np,0.199951171875,3276,0.8257090896930958
Nc=Np,0.199951171875,3276,0.7869111850221462
Nc=Np,0.199951171875,3276,0.80307890282816
Nc=Np,0.199951171875,3276,0.807804085076212
Nc=Np,0.199951171875,3276,0.7846867003929859
Nc=Np,0.199951171875,3276,0.8024678473805347
Nc=Np,0.199951171875,3276,0.7962159436323328
Nc=Np,0.199951171875,3276,0.8313794612536858
Nc=Np,0.29998779296875,4915,1.035532674056642
Nc=Np,0.29998779296875,4915,1.064536331363834
Nc=Np,0.29998779296875,4915,0.9236066298648584
Nc=Np,0.29998779296875,4915,0.946951969032716
Nc=Np,0.29998779296875,4915,1.0426883870503594
Nc=Np,0.29998779296875,4915,1.02576588863638
Nc=Np,0.29998779296875,4915,0.9089545018652508
Nc=Np,0.29998779296875,4915,1.0588728889436545
Nc=Np,0.29998779296875,4915,1.0058673534996423
Nc=Np,0.29998779296875,4915,1.0028850784961296
Nc=Np,0.29998779296875,4915,0.9700105756190808
Nc=Np,0.29998779296875,4915,0.9969653327377592
Nc=Np,0.29998779296875,4915,0.980404505632332
Nc=Np,0.29998779296875,4915,0.9827436552970776
Nc=Np,0.29998779296875,4915,0.9936753134419188
Nc=Np,0.29998779296875,4915,0.9355319055274736
Nc=Np,0.29998779296875,4915,1.0137146960005103
Nc=Np,0.29998779296875,4915,1.0492449517663645
Nc=Np,0.29998779296875,4915,1.0009027051129826
Nc=Np,0.29998779296875,4915,0.9193954286533952
Nc=Np,0.29998779296875,4915,1.0388909552457428
Nc=Np,0.29998779296875,4915,1.03575287455731
Nc=Np,0.29998779296875,4915,0.9777801537116638
Nc=Np,0.29998779296875,4915,0.9409615224735604
Nc=Np,0.29998779296875,4915,0.9937073546670678
Nc=Np,0.29998779296875,4915,0.9484257558331358
Nc=Np,0.29998779296875,4915,1.0287302727062653
Nc=Np,0.29998779296875,4915,0.9961919217056442
Nc=Np,0.29998779296875,4915,0.947028088458168
Nc=Np,0.29998779296875,4915,0.9839932801018384
Nc=Np,0.29998779296875,4915,0.9820309972893936
Nc=Np,0.29998779296875,4915,1.0237725491049303
Nc=Np,0.29998779296875,4915,0.972767833829765
Nc=Np,0.29998779296875,4915,1.058779220472625
Nc=Np,0.29998779296875,4915,0.946667210992866
Nc=Np,0.29998779296875,4915,0.99534474512568
Nc=Np,0.29998779296875,4915,1.0242259369346125
Nc=Np,0.29998779296875,4915,1.0161460740776245
Nc=Np,0.29998779296875,4915,1.0067391696740853
Nc=Np,0.29998779296875,4915,0.9955404880742724
Nc=Np,0.29998779296875,4915,1.013288823344028
Nc=Np,0.29998779296875,4915,1.020059347710799
Nc=Np,0.29998779296875,4915,1.0459875251290691
Nc=Np,0.29998779296875,4915,1.0009640535900854
Nc=Np,0.29998779296875,4915,1.0029719001152375
Nc=Np,0.29998779296875,4915,1.0056848001949206
Nc=Np,0.29998779296875,4915,1.038829754433169
Nc=Np,0.29998779296875,4915,0.9978370306871348
Nc=Np,0.29998779296875,4915,1.0112326413147308
Nc=Np,0.29998779296875,4915,1.0153928682913418
Nc=Np,0.29998779296875,4915,1.0313142659608894
Nc=Np,0.29998779296875,4915,0.9660654515831072
Nc=Np,0.29998779296875,4915,0.9415036019624125
Nc=Np,0.29998779296875,4915,0.9241063773180368
Nc=Np,0.29998779296875,4915,0.9826854233260344
Nc=Np,0.29998779296875,4915,1.017370159232103
