scenario,phi,num_obs,alpha_run
Nc=Np,0.29998779296875,4915,0.639086
Nc=Np,0.29998779296875,4915,0.64467
Nc=Np,0.29998779296875,4915,0.628456
Nc=Np,0.29998779296875,4915,0.625736
Nc=Np,0.29998779296875,4915,0.640783
Nc=Np,0.29998779296875,4915,0.619904
Nc=Np,0.29998779296875,4915,0.606732
Nc=Np,0.29998779296875,4915,0.635664
Nc=Np,0.29998779296875,4915,0.627901
Nc=Np,0.29998779296875,4915,0.615542
Nc=Np,0.29998779296875,4915,0.657468
Nc=Np,0.29998779296875,4915,0.610005
Nc=Np,0.29998779296875,4915,0.6395
Nc=Np,0.29998779296875,4915,0.626397
Nc=Np,0.29998779296875,4915,0.639444
Nc=Np,0.29998779296875,4915,0.638483
Nc=Np,0.29998779296875,4915,0.652622
Nc=Np,0.29998779296875,4915,0.641376
Nc=Np,0.29998779296875,4915,0.640073
Nc=Np,0.29998779296875,4915,0.626821
Nc=Np,0.29998779296875,4915,0.618486
Nc=Np,0.29998779296875,4915,0.624091
Nc=Np,0.29998779296875,4915,0.629716
Nc=Np,0.39996337890625,6553,0.547895
Nc=Np,0.39996337890625,6553,0.559456
Nc=Np,0.39996337890625,6553,0.56986
Nc=Np,0.39996337890625,6553,0.558184
Nc=Np,0.39996337890625,6553,0.562003
Nc=Np,0.39996337890625,6553,0.556869
Nc=Np,0.39996337890625,6553,0.552193
Nc=Np,0.39996337890625,6553,0.583083
Nc=Np,0.39996337890625,6553,0.577508
Nc=Np,0.39996337890625,6553,0.540194
Nc=Np,0.39996337890625,6553,0.561321
Nc=Np,0.39996337890625,6553,0.570187
Nc=Np,0.39996337890625,6553,0.548486
Nc=Np,0.39996337890625,6553,0.570764
Nc=Np,0.39996337890625,6553,0.58661
Nc=Np,0.39996337890625,6553,0.554569
Nc=Np,0.39996337890625,6553,0.570504
Nc=Np,0.39996337890625,6553,0.560041
Nc=Np,0.39996337890625,6553,0.561741
Nc=Np,0.39996337890625,6553,0.569245
Nc=Np,0.39996337890625,6553,0.576346
Nc=Np,0.39996337890625,6553,0.579253
Nc=Np,0.39996337890625,6553,0.561555
Nc=Np,0.39996337890625,6553,0.550252
Nc=Np,0.39996337890625,6553,0.57116
