scenario,phi,num_obs,run,d_run,n_reach,n_total,modo,periodic
Nc=Np,0.199951171875,3276,12,1.513587786259542,3275,3277,por_presa,True
Nc=Np,0.199951171875,3276,13,1.498318557016203,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,14,1.5287286063569683,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,15,1.4992357077346377,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,16,1.5099357994497096,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,17,1.505050505050505,3267,3277,por_presa,True
Nc=Np,0.199951171875,3276,18,1.5287286063569683,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,19,1.522643818849449,3268,3277,por_presa,True
Nc=Np,0.199951171875,3276,20,1.5252370755582747,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,21,1.5181901559156221,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,22,1.5253822629969418,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,23,1.511151848457073,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,24,1.5256880733944953,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,25,1.5340666055606478,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,26,1.5247858017135862,3268,3277,por_presa,True
Nc=Np,0.199951171875,3276,27,1.553484107579462,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,28,1.5090131377940728,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,29,1.5004582951420715,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,30,1.5303123086344153,3266,3277,por_presa,True
Nc=Np,0.199951171875,3276,31,1.4960244648318042,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,32,1.5521247324977072,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,33,1.512090602999694,3267,3277,por_presa,True
Nc=Np,0.199951171875,3276,34,1.5097799511002445,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,35,1.549205378973105,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,36,1.5038237993270114,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,37,1.5110294117647058,3264,3277,por_presa,True
Nc=Np,0.199951171875,3276,38,1.5113219094247246,3268,3277,por_presa,True
Nc=Np,0.199951171875,3276,39,1.5232131948686622,3274,3277,por_presa,True
Nc=Np,0.199951171875,3276,40,1.5197187404463466,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,41,1.5194367921640648,3267,3277,por_presa,True
Nc=Np,0.199951171875,3276,42,1.5209416080709264,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,43,1.5189602446483181,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,44,1.5299511002444988,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,45,1.491131498470948,3270,3277,por_presa,True
