run,steps,seed
919,7,982727152
925,4,982727158
932,1,982727165
930,3,982727163
927,6,982727160
933,1,982727166
929,4,982727162
935,1,982727168
934,2,982727167
937,1,982727170
931,5,982727164
920,12,982727153
912,17,982727145
939,2,982727172
938,3,982727171
942,3,982727175
936,5,982727169
943,3,982727176
910,20,982727143
945,1,982727178
946,1,982727179
944,3,982727177
898,21,982727131
873,43,982727106
949,3,982727182
948,4,982727181
950,4,982727183
941,7,982727174
953,2,982727186
940,8,982727173
947,5,982727180
954,2,982727187
959,1,982727192
958,2,982727191
956,4,982727189
955,5,982727188
703,115,982726936
951,9,982727184
966,1,982727199
962,4,982727195
957,6,982727190
964,4,982727197
961,5,982727194
972,1,982727205
973,1,982727206
967,3,982727200
968,3,982727201
969,3,982727202
952,13,982727185
970,3,982727203
963,8,982727196
979,1,982727212
971,4,982727204
976,2,982727209
977,2,982727210
981,1,982727214
975,4,982727208
982,1,982727215
960,11,982727193
965,9,982727198
984,2,982727217
983,2,982727216
980,4,982727213
988,1,982727221
986,2,982727219
991,1,982727224
989,2,982727222
978,6,982727211
996,3,982727229
928,29,982727161
997,3,982727230
987,7,982727220
995,3,982727228
990,6,982727223
993,6,982727226
999,2,982727232
985,5,982727218
998,4,982727231
974,16,982727207
1000,7,982727233
992,14,982727225
994,20,982727227
