run,steps,escapers,seed
509,1,25,3916191154
511,1,25,3916191156
513,1,25,3916191158
514,1,25,3916191159
515,1,25,3916191160
512,1,25,3916191157
516,1,25,3916191161
518,1,25,3916191163
517,1,25,3916191162
519,1,25,3916191164
520,1,25,3916191165
521,1,25,3916191166
522,1,25,3916191167
523,1,25,3916191168
524,1,25,3916191169
525,1,25,3916191170
526,1,25,3916191171
527,1,25,3916191172
528,1,25,3916191173
529,1,25,3916191174
530,1,25,3916191175
531,1,25,3916191176
533,1,25,3916191178
532,1,25,3916191177
534,1,25,3916191179
535,1,25,3916191180
536,1,25,3916191181
537,1,25,3916191182
538,1,25,3916191183
539,1,25,3916191184
540,1,25,3916191185
541,1,25,3916191186
542,1,25,3916191187
543,1,25,3916191188
544,1,25,3916191189
545,1,25,3916191190
437,1,25,3916191082
546,1,25,3916191191
548,1,25,3916191193
549,1,25,3916191194
550,1,25,3916191195
551,1,25,3916191196
552,1,25,3916191197
553,1,25,3916191198
554,1,25,3916191199
547,1,25,3916191192
555,1,25,3916191200
556,1,25,3916191201
558,1,25,3916191203
559,1,25,3916191204
560,1,25,3916191205
563,1,25,3916191208
562,1,25,3916191207
564,1,25,3916191209
565,1,25,3916191210
557,1,25,3916191202
561,1,25,3916191206
567,1,25,3916191212
569,1,25,3916191214
568,1,25,3916191213
570,1,25,3916191215
571,1,25,3916191216
572,1,25,3916191217
573,1,25,3916191218
574,1,25,3916191219
575,1,25,3916191220
576,1,25,3916191221
578,1,25,3916191223
577,1,25,3916191222
579,1,25,3916191224
580,1,25,3916191225
581,1,25,3916191226
583,1,25,3916191228
584,1,25,3916191229
585,1,25,3916191230
586,1,25,3916191231
587,1,25,3916191232
590,1,25,3916191235
588,1,25,3916191233
582,1,25,3916191227
589,1,25,3916191234
566,1,25,3916191211
592,1,25,3916191237
591,1,25,3916191236
593,1,25,3916191238
594,1,25,3916191239
595,1,25,3916191240
596,1,25,3916191241
597,1,25,3916191242
598,1,25,3916191243
600,1,25,3916191245
599,1,25,3916191244
601,1,25,3916191246
602,1,25,3916191247
